stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1387,,"AVENIDA I CJ CEARA, 702",,-3.770401,-38.597571,,,0,,,
1388,,"AVENIDA I CJ CEARA, 705",,-3.77056,-38.597599,,,0,,,
1389,,"AVENIDA MIN ALBUQUERQUE LIMA, 1730",,-3.770188,-38.598419,,,0,,,
139,,"AVENIDA CEL CARVALHO, 1033",,-3.711356,-38.589429,,,0,,,
1391,,"AVENIDA MIN ALBUQUERQUE LIMA, 1431",,-3.770544,-38.600153,,,0,,,
1392,,"AVENIDA MIN ALBUQUERQUE LIMA, 1412",,-3.770535,-38.600111,,,0,,,
1393,,"AVENIDA L CJ CEARÁ, 135",,-3.774932,-38.607703,,,0,,,
1395,,"AVENIDA G CJ CEARA, 615",,-3.774091,-38.610353,,,0,,,
1396,,"AVENIDA H CJ CEARA, 1285",,-3.775687,-38.609249,,,0,,,
1397,,"AVENIDA H CJ CEARA, 1280",,-3.775702,-38.609372,,,0,,,
1398,,"AVENIDA H CJ CEARA, 901",,-3.775109,-38.605577,,,0,,,
1399,,"AVENIDA H CJ CEARA, 901",,-3.775104,-38.605531,,,0,,,
14,,"AVENIDA FRANCISCO SA, 7998",,-3.70349,-38.591227,,,0,,,
1400,,"AVENIDA A CJ CEARA, 1420",,-3.774559,-38.605764,,,0,,,
1401,,"AVENIDA 741 CJ CEARA, 1420",,-3.77409,-38.605633,,,0,,,
1402,,"AVENIDA I CJ CEARA, 901",,-3.77495,-38.604221,,,0,,,
1403,,"RUA JOSE TORRES, 1576",,-3.776091,-38.606192,,,0,,,
